AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2020-21,40,5.6,5.3,8.1,11.8,8,"4,829","4,235","7,033","59,703",> 100%
National,,All,2020-21,41,5.7,5.4,8.4,12.4,12,"5,183","4,807","7,637","61,676",> 100%
National,,All,2020-21,42,5.8,5.5,8.6,13.1,16,"5,212","5,182","7,949","60,501",> 100%
National,,All,2020-21,43,5.9,5.6,9.1,14.3,15,"5,645","5,977","8,886","62,089",> 100%
National,,All,2020-21,44,6,5.7,9.7,15.7,21,"6,146","6,999","9,912","63,329",> 100%
National,,All,2020-21,45,6.1,5.8,10.5,17.4,21,"7,090","8,740","11,757","67,460",> 100%
National,,All,2020-21,46,6.2,5.9,11.7,19.9,20,"8,047","10,625","13,657","68,719",> 100%
National,,All,2020-21,47,6.3,6,13.2,23,30,"9,413","13,328","16,444","71,520",> 100%
National,,All,2020-21,48,6.4,6.1,14.3,25.4,27,"10,454","15,596","18,566","73,159",> 100%
National,,All,2020-21,49,6.5,6.2,15.7,28.1,35,"12,068","18,506","21,706","77,255",> 100%
National,,All,2020-21,50,6.6,6.3,16.2,29.5,29,"13,260","20,872","24,130","81,843",> 100%
National,,All,2020-21,51,6.7,6.4,17.3,30.9,32,"14,273","22,266","25,567","82,768",> 100%
National,,All,2020-21,52,6.8,6.5,17.7,31.6,31,"14,864","23,302","26,628","84,179",> 100%
National,,All,2020-21,53,6.9,6.6,18.5,32.5,44,"16,007","24,700","28,131","86,635",> 100%
National,,All,2020-21,1,7,6.6,19.5,33.7,32,"16,767","25,640","29,023","86,124",> 100%
National,,All,2020-21,2,7,6.7,19.5,33.2,34,"16,693","25,203","28,549","85,986",> 100%
National,,All,2020-21,3,7.1,6.8,18.9,32,31,"15,530","23,136","26,329","82,168",> 100%
National,,All,2020-21,4,7.1,6.8,17.6,29.5,34,"13,760","20,068","23,111","78,455",> 100%
National,,All,2020-21,5,7.2,6.9,16.1,26.2,27,"11,914","16,414","19,430","74,102",> 100%
National,,All,2020-21,6,7.2,6.9,14.3,22.9,23,"9,830","12,906","15,775","68,901",> 100%
National,,All,2020-21,7,7.2,6.9,12.9,19.9,15,"8,634","10,362","13,331","67,060",> 100%
National,,All,2020-21,8,7.2,6.9,11.3,17.2,18,"7,295","8,283","11,112","64,467",> 100%
National,,All,2020-21,9,7.2,6.9,10.4,15.2,26,"6,343","6,478","9,327","61,388",> 100%
National,,All,2020-21,10,7.1,6.8,9.4,13.7,13,"5,573","5,533","8,169","59,576",> 100%
National,,All,2020-21,11,7.1,6.8,8.9,12.8,7,"5,124","4,761","7,399","57,961",> 100%
National,,All,2020-21,12,7,6.7,8.5,12,16,"4,906","4,346","6,974","58,180",> 100%
National,,All,2020-21,13,7,6.7,8.2,11.7,17,"4,561","4,068","6,548","55,987",> 100%
National,,All,2020-21,14,6.9,6.6,8.2,11.6,12,"4,744","4,154","6,716","57,933",> 100%
National,,All,2020-21,15,6.8,6.5,8.5,12,8,"4,727","4,266","6,705","55,876",> 100%
National,,All,2020-21,16,6.7,6.4,8.6,12.1,14,"4,892","4,391","6,901","56,906",> 100%
National,,All,2020-21,17,6.6,6.3,8.2,11.5,3,"4,575","3,966","6,399","55,863",> 100%
National,,All,2020-21,18,6.5,6.2,8.1,11.2,7,"4,353","3,714","6,078","54,130",> 100%
National,,All,2020-21,19,6.4,6.1,7.8,10.6,9,"4,082","3,361","5,588","52,760",> 100%
National,,All,2020-21,20,6.3,6,7.4,9.9,7,"3,790","2,831","5,035","51,090",> 100%
National,,All,2020-21,21,6.2,5.9,6.9,9.1,3,"3,119","2,164","4,078","44,945",94.5%
National,,All,2020-21,22,6.1,5.8,6.5,8.3,4,"2,352","1,462","2,978","36,034",75.7%
National,,All,2020-21,23,6,5.7,6,7.6,0,"1,080",601,"1,360","17,906",37.6%
National,,All,2019-20,40,5.7,5.3,5.2,5.2,17,"2,716",0,"2,733","52,564",> 100%
National,,All,2019-20,41,5.7,5.4,5.3,5.3,16,"2,784",0,"2,800","53,090",> 100%
National,,All,2019-20,42,5.8,5.5,5.5,5.5,18,"2,993",0,"3,011","54,338",> 100%
National,,All,2019-20,43,5.9,5.6,5.6,5.6,30,"2,997",0,"3,027","54,049",> 100%
National,,All,2019-20,44,6,5.7,5.5,5.5,31,"2,928",0,"2,959","54,087",> 100%
National,,All,2019-20,45,6.1,5.8,5.6,5.6,31,"3,084",0,"3,115","55,699",> 100%
National,,All,2019-20,46,6.2,5.9,5.6,5.6,39,"3,108",0,"3,147","55,886",> 100%
National,,All,2019-20,47,6.3,6,5.5,5.5,50,"3,015",0,"3,065","56,199",> 100%
National,,All,2019-20,48,6.4,6.1,5.5,5.5,66,"2,999",0,"3,065","55,465",> 100%
National,,All,2019-20,49,6.5,6.2,6,6,101,"3,330",0,"3,431","57,303",> 100%
National,,All,2019-20,50,6.6,6.3,6.2,6.2,111,"3,486",0,"3,597","57,658",> 100%
National,,All,2019-20,51,6.7,6.4,6.1,6.1,129,"3,391",0,"3,520","57,424",> 100%
National,,All,2019-20,52,6.8,6.5,6.4,6.4,203,"3,539",0,"3,742","58,458",> 100%
National,,All,2019-20,1,6.9,6.6,7.5,7.5,432,"4,099",0,"4,531","60,033",> 100%
National,,All,2019-20,2,7,6.6,7.6,7.6,472,"4,138",3,"4,612","60,593",> 100%
National,,All,2019-20,3,7,6.7,7.6,7.6,464,"4,058",3,"4,522","59,223",> 100%
National,,All,2019-20,4,7.1,6.8,7.5,7.5,498,"3,907",2,"4,407","59,020",> 100%
National,,All,2019-20,5,7.1,6.8,7.3,7.3,480,"3,810",0,"4,290","58,702",> 100%
National,,All,2019-20,6,7.1,6.8,7.3,7.3,520,"3,817",3,"4,339","59,357",> 100%
National,,All,2019-20,7,7.1,6.8,7.5,7.5,560,"3,837",2,"4,398","58,695",> 100%
National,,All,2019-20,8,7.1,6.8,7.3,7.3,565,"3,712",6,"4,280","58,776",> 100%
National,,All,2019-20,9,7.1,6.8,7.6,7.6,654,"3,837",9,"4,495","59,202",> 100%
National,,All,2019-20,10,7.1,6.8,7.7,7.8,636,"3,978",37,"4,632","59,575",> 100%
National,,All,2019-20,11,7.1,6.8,7.8,7.9,625,"3,971",58,"4,624","58,556",> 100%
National,,All,2019-20,12,7,6.7,8.6,9.2,559,"4,541",580,"5,418","59,098",> 100%
National,,All,2019-20,13,7,6.7,10.5,13.2,445,"6,170","3,190","8,309","62,879",> 100%
National,,All,2019-20,14,6.9,6.6,14.4,21.4,477,"9,912","10,086","15,469","72,149",> 100%
National,,All,2019-20,15,6.8,6.5,15.8,26.8,474,"11,989","16,260","21,153","78,953",> 100%
National,,All,2019-20,16,6.8,6.5,15.2,27.8,263,"11,404","17,161","21,316","76,699",> 100%
National,,All,2019-20,17,6.7,6.4,14.2,26.2,144,"10,367","15,507","19,313","73,779",> 100%
National,,All,2019-20,18,6.6,6.3,13,24.1,66,"8,928","13,186","16,650","69,180",> 100%
National,,All,2019-20,19,6.5,6.2,11.8,21.5,48,"7,821","11,208","14,358","66,712",> 100%
National,,All,2019-20,20,6.4,6.1,10.6,19,22,"6,777","9,210","12,217","64,402",> 100%
National,,All,2019-20,21,6.3,6,9.6,16.5,24,"5,894","7,218","10,155","61,529",> 100%
