Flu season (2013-14),est,4,7,11,15,20,26,35,45,56,69,84,98,112,126,140,154,167,180,194,207,220,234,247,260,274,287,301,315,329,343,357,372,387,403,420,438,457,477,497,518,538,557,576,595,614,632,652,675,700,727,756,788,822,857,892,929,966,1004,1043,1083,1125,1168,1212,1259,1306,1356,1406,1462,1522,1586,1655,1728,1806,1888,1977,2073,2176,2285,2401,2524,2653,2800,2964,3145,3344,3560,3793,4044,4319,4619,4944,5293,5668,6066,6490,6933,7394,7874,8373,8891,9428,9983,10541,11102,11666,12231,12800,13371,13945,14513,15076,15633,16184,16730,17271,17806,18331,18846,19352,19847,20333,20809,21275,21729,22171,22600,23018,23423,23817,24198,24572,24938,25296,25647,25990,26326,26654,26971,27278,27574,27859,28133,28397,28650,28894,29131,29359,29579,29790,29993,30188,30377,30559,30735,30905,31069,31227,31378,31524,31664,31799,31928,32051,32170,32282,32391,32497,32600,32700,32796,32889,32978,33066,33153,33237,33321,33403,33483,33562,33638,33714,33787,33859,33929,33997,34064,34133,34206,34281,34360,34441,34525,34612,34696,34777,34854,34928,34999,35066,35130,35195,35259,35324,35389,35454,35519,35584,35649,35714,35779,35844,35908,35973,36037,36098,36158,36215,36269,36321,36371,36418,36463,36506,36547,36586,36623,36658,36690,36723,36754,36785,36816,36846,36876,36905,36932,36958,36982,37005,37027,37046,37064,37083,37103,37124,37146,37168,37191,37216,37239,37261,37283,37304,37324,37343,37361,37378,37393,37407,37420,37431,37441,37449,37457,37464,37471,37476,37481,37486,37489,37493,37498,37503,37509,37515,37522,37529,37536,37543,37549,37555,37560,37565,37570,37576,37582,37588,37595,37602,37610,37619,37627,37634,37640,37646,37651,37655,37659,37663,37667,37672,37677,37682,37688,37694,37699,37704,37708,37711,37714,37716,37717,37719,37721,37725,37729,37733,37739,37745,37751,37757,37764,37771,37777,37785,37792,37799,37806,37813,37819,37826,37832,37838,37843,37848,37852,37855,37858,37860,37861,37863,37865,37868,37871,37875,37879,37884,37889,37895,37900,37907,37913,37920,37927,37935,37942,37949,37956,37964,37971,37978,37984,37990,37994,37997,37999,38000,38000,38000,38000,38000,
Flu season (2013-14),inc,0,1,1,2,2,3,4,5,7,8,10,12,13,15,17,18,20,21,23,24,26,28,29,31,32,34,35,37,39,40,42,44,46,48,50,52,54,56,59,61,63,66,68,70,72,75,77,80,83,86,89,93,97,101,105,110,114,119,123,128,133,138,143,149,154,160,166,173,180,187,195,204,213,223,233,245,257,270,283,298,313,330,350,371,395,420,448,477,510,545,584,625,669,716,766,818,873,929,988,1049,1113,1178,1244,1310,1377,1444,1511,1578,1646,1713,1779,1845,1910,1975,2038,2102,2164,2224,2284,2343,2400,2456,2511,2565,2617,2667,2717,2765,2811,2856,2900,2943,2986,3027,3068,3107,3146,3183,3219,3254,3288,3320,3352,3381,3410,3438,3465,3491,3516,3540,3563,3585,3607,3628,3648,3667,3686,3703,3721,3737,3753,3768,3783,3797,3810,3823,3836,3848,3859,3871,3882,3892,3903,3913,3923,3933,3942,3952,3961,3970,3979,3988,3996,4005,4013,4020,4029,4037,4046,4055,4065,4075,4085,4095,4105,4114,4122,4131,4139,4146,4154,4161,4169,4177,4184,4192,4200,4208,4215,4223,4231,4238,4246,4253,4261,4268,4274,4281,4287,4293,4298,4304,4309,4314,4318,4322,4327,4330,4334,4338,4342,4345,4349,4352,4356,4359,4362,4365,4368,4370,4372,4375,4377,4379,4382,4384,4387,4390,4392,4395,4398,4400,4403,4405,4407,4410,4412,4413,4415,4417,4418,4419,4420,4421,4422,4423,4423,4424,4424,4425,4425,4426,4426,4427,4428,4429,4429,4430,4431,4432,4432,4433,4434,4434,4435,4436,4436,4437,4438,4439,4440,4441,4442,4443,4443,4444,4444,4445,4445,4446,4446,4447,4447,4448,4449,4449,4450,4451,4451,4451,4451,4452,4452,4452,4452,4453,4454,4454,4455,4456,4456,4457,4458,4459,4460,4460,4461,4462,4463,4464,4464,4465,4466,4466,4467,4468,4468,4468,4468,4469,4469,4469,4469,4470,4470,4471,4471,4472,4473,4473,4474,4475,4476,4476,4477,4478,4479,4480,4481,4482,4482,4483,4484,4484,4485,4485,4485,4485,4485,4485,4485,
Flu season (2014-15),est,5,11,16,21,27,33,39,45,52,59,66,74,82,91,101,111,122,133,145,156,166,177,187,197,207,218,229,241,254,267,282,297,311,325,338,350,361,372,381,392,404,416,429,444,459,475,492,512,533,555,579,605,633,662,694,727,762,799,838,879,925,975,1030,1090,1154,1223,1297,1381,1477,1584,1701,1829,1969,2119,2287,2474,2679,2901,3142,3402,3679,3982,4310,4663,5042,5446,5876,6331,6850,7432,8079,8789,9563,10400,11301,12213,13136,14070,15014,15970,16936,17913,18874,19821,20753,21670,22572,23459,24331,25168,25971,26740,27474,28174,28840,29471,30086,30685,31269,31836,32388,32924,33444,33951,34445,34925,35393,35848,36289,36717,37136,37545,37944,38333,38713,39083,39443,39787,40116,40429,40726,41008,41274,41525,41768,42003,42231,42450,42662,42866,43063,43255,43443,43628,43808,43984,44156,44324,44488,44647,44803,44954,45101,45244,45383,45519,45653,45786,45916,46044,46169,46293,46414,46533,46650,46764,46876,46986,47094,47198,47300,47399,47496,47589,47680,47768,47856,47945,48033,48121,48210,48299,48388,48473,48556,48635,48712,48785,48854,48921,48986,49050,49112,49172,49231,49289,49345,49399,49452,49503,49552,49600,49646,49691,49732,49771,49807,49841,49871,49899,49924,49948,49971,49994,50016,50037,50057,50077,50095,50113,50129,50145,50159,50173,50185,50198,50211,50225,50240,50255,50270,50286,50301,50315,50328,50340,50351,50361,50370,50379,50388,50397,50407,50416,50426,50436,50445,50453,50461,50468,50475,50481,50486,50491,50496,50501,50505,50509,50513,50516,50520,50524,50529,50533,50538,50543,50548,50554,50560,50565,50571,50577,50583,50589,50596,50602,50608,50614,50620,50627,50633,50639,50644,50649,50653,50656,50660,50662,50665,50668,50671,50674,50677,50681,50684,50688,50692,50695,50699,50702,50706,50709,50713,50718,50723,50729,50735,50741,50748,50755,50762,50768,50774,50780,50786,50791,50796,50801,50806,50811,50816,50820,50825,50829,50833,50837,50840,50843,50846,50849,50852,50854,50857,50860,50862,50865,50868,50871,50874,50878,50882,50887,50892,50897,50902,50908,50914,50921,50927,50934,50941,50948,50955,50961,50967,50973,50979,50984,50989,50995,51000,
Flu season (2014-15),inc,1,2,3,3,4,5,6,7,8,9,11,12,13,15,16,18,20,21,23,25,27,28,30,32,33,35,37,39,41,43,45,48,50,52,54,56,58,60,61,63,65,67,69,71,74,76,79,82,86,89,93,97,102,106,111,117,122,128,135,141,149,157,166,175,185,197,208,222,237,255,273,294,316,341,368,398,431,466,505,547,591,640,693,749,810,875,944,1018,1101,1195,1298,1413,1537,1672,1816,1963,2111,2261,2413,2567,2722,2879,3034,3186,3336,3483,3628,3770,3911,4045,4174,4298,4416,4528,4635,4737,4836,4932,5026,5117,5206,5292,5375,5457,5536,5613,5689,5762,5833,5901,5969,6034,6099,6161,6222,6282,6339,6395,6448,6498,6546,6591,6634,6674,6713,6751,6788,6823,6857,6890,6921,6952,6982,7012,7041,7069,7097,7124,7150,7176,7201,7225,7249,7272,7294,7316,7338,7359,7380,7400,7421,7440,7460,7479,7498,7516,7534,7552,7569,7586,7602,7618,7634,7649,7663,7678,7692,7706,7720,7734,7749,7763,7777,7791,7804,7817,7829,7841,7852,7863,7873,7884,7894,7903,7913,7922,7931,7940,7948,7956,7964,7972,7979,7987,7993,8000,8005,8011,8016,8020,8024,8028,8032,8035,8039,8042,8045,8049,8052,8054,8057,8060,8062,8064,8066,8068,8070,8072,8075,8077,8080,8082,8085,8087,8089,8091,8093,8094,8096,8097,8099,8100,8102,8103,8105,8106,8108,8109,8110,8112,8113,8114,8114,8115,8116,8117,8117,8118,8119,8119,8120,8121,8121,8122,8123,8124,8124,8125,8126,8127,8128,8129,8130,8131,8132,8133,8134,8135,8136,8137,8138,8139,8140,8141,8141,8142,8142,8143,8143,8144,8144,8145,8145,8146,8146,8147,8147,8148,8149,8149,8150,8150,8151,8152,8152,8153,8154,8155,8157,8158,8159,8160,8161,8162,8163,8163,8164,8165,8166,8167,8167,8168,8169,8170,8170,8171,8171,8172,8172,8173,8173,8174,8174,8174,8175,8175,8176,8176,8177,8177,8178,8179,8180,8180,8181,8182,8183,8184,8185,8186,8188,8189,8190,8191,8192,8193,8194,8194,8195,8196,8197,
Flu season (2015-16),est,13,27,40,53,66,77,88,97,106,113,120,128,137,147,159,172,186,201,216,232,248,263,279,295,312,328,345,363,380,399,417,436,455,472,489,505,519,534,547,560,573,586,599,612,624,637,649,662,675,687,701,714,727,742,757,774,791,810,830,851,872,892,912,932,952,971,990,1010,1031,1052,1075,1098,1122,1146,1170,1191,1212,1231,1248,1264,1278,1294,1313,1334,1357,1382,1409,1439,1469,1498,1528,1558,1589,1619,1650,1680,1710,1739,1769,1798,1827,1855,1885,1915,1946,1978,2011,2044,2078,2115,2153,2193,2235,2278,2324,2372,2421,2472,2524,2577,2633,2689,2747,2810,2877,2948,3023,3103,3188,3276,3372,3476,3587,3706,3832,3965,4106,4253,4404,4561,4723,4891,5064,5242,5430,5627,5834,6050,6276,6511,6756,7006,7261,7521,7786,8056,8331,8612,8900,9195,9499,9810,10129,10456,10790,11117,11436,11748,12052,12348,12637,12918,13197,13475,13751,14025,14297,14567,14836,15101,15361,15616,15868,16115,16357,16595,16826,17050,17266,17475,17676,17870,18057,18237,18411,18578,18739,18893,19041,19182,19320,19455,19588,19717,19844,19968,20089,20205,20316,20422,20524,20620,20712,20799,20883,20965,21045,21122,21198,21270,21341,21406,21466,21520,21569,21612,21650,21682,21714,21745,21776,21806,21836,21865,21894,21920,21946,21969,21990,22010,22028,22044,22060,22077,22093,22109,22125,22141,22158,22174,22190,22207,22224,22241,22258,22275,22291,22307,22321,22335,22348,22361,22372,22383,22394,22405,22415,22425,22435,22444,22454,22463,22473,22483,22492,22502,22511,22520,22529,22536,22544,22551,22557,22563,22568,22574,22579,22584,22589,22594,22599,22604,22608,22613,22618,22623,22627,22632,22637,22640,22644,22647,22650,22652,22654,22656,22658,22660,22662,22664,22666,22667,22670,22672,22676,22679,22683,22687,22692,22697,22702,22707,22713,22718,22724,22729,22735,22740,22746,22751,22756,22761,22766,22770,22775,22780,22785,22789,22794,22799,22804,22810,22816,22822,22829,22836,22844,22851,22859,22867,22876,22884,22892,22901,22910,22919,22928,22938,22948,22958,22969,22978,22985,22991,22996,22999,23000,23000,23000,23000,23000,
Flu season (2015-16),inc,2,4,6,8,10,12,13,15,16,17,18,19,21,22,24,26,28,30,32,35,37,39,42,44,47,49,52,54,57,60,63,65,68,71,73,76,78,80,82,84,86,88,90,92,94,95,97,99,101,103,105,107,109,111,113,116,119,121,124,128,131,134,137,140,143,146,148,151,155,158,161,165,168,172,175,179,182,184,187,189,192,194,197,200,203,207,211,216,220,225,229,234,238,243,247,252,256,261,265,270,274,278,283,287,292,297,301,306,312,317,323,329,335,342,348,356,363,371,378,386,395,403,412,421,431,442,453,465,478,491,506,521,538,556,574,594,616,638,660,684,708,733,759,786,814,844,875,907,941,976,1013,1050,1089,1128,1167,1208,1249,1291,1334,1378,1424,1471,1518,1567,1618,1667,1714,1761,1807,1851,1894,1937,1978,2020,2061,2102,2143,2184,2224,2264,2303,2341,2379,2416,2452,2488,2522,2556,2588,2620,2650,2679,2707,2734,2760,2785,2809,2832,2854,2876,2896,2917,2936,2956,2975,2993,3012,3029,3046,3062,3077,3091,3105,3118,3131,3143,3155,3167,3178,3189,3199,3209,3218,3226,3233,3240,3246,3250,3255,3260,3265,3269,3273,3278,3282,3286,3290,3293,3297,3300,3302,3305,3307,3310,3312,3314,3317,3319,3322,3324,3327,3329,3332,3334,3337,3339,3342,3344,3346,3348,3350,3352,3354,3356,3357,3359,3360,3362,3363,3365,3366,3368,3369,3370,3372,3373,3375,3376,3377,3379,3380,3381,3382,3382,3383,3384,3385,3386,3386,3387,3388,3389,3389,3390,3391,3391,3392,3393,3394,3394,3395,3395,3396,3396,3396,3396,3397,3397,3397,3398,3398,3398,3398,3399,3399,3400,3400,3401,3402,3403,3403,3404,3405,3406,3407,3407,3408,3409,3410,3411,3411,3412,3413,3414,3414,3415,3416,3416,3417,3418,3419,3419,3420,3421,3422,3423,3425,3426,3427,3428,3429,3431,3432,3433,3434,3436,3437,3439,3440,3442,3443,3445,3446,3447,3447,3448,3448,3448,3448,3448,3448,
Flu season (2016-17),est,14,28,42,56,69,82,94,105,115,124,133,141,149,156,163,169,175,180,187,195,203,213,224,237,250,263,276,289,302,314,327,340,352,366,379,393,407,422,436,450,462,473,482,490,497,503,510,519,529,541,555,571,588,606,626,647,670,694,719,746,772,798,824,851,877,902,928,955,984,1014,1046,1079,1113,1149,1190,1236,1288,1344,1406,1472,1544,1623,1709,1803,1904,2012,2127,2250,2387,2539,2706,2887,3083,3294,3520,3754,3998,4250,4510,4780,5059,5346,5634,5922,6211,6501,6791,7081,7372,7663,7953,8242,8530,8818,9105,9392,9677,9960,10241,10520,10798,11073,11347,11629,11918,12215,12519,12831,13151,13478,13819,14174,14543,14927,15324,15735,16161,16593,17032,17477,17930,18388,18854,19326,19791,20247,20696,21136,21569,21994,22411,22821,23224,23620,24009,24391,24767,25135,25493,25840,26176,26502,26817,27121,27415,27702,27982,28257,28525,28787,29042,29291,29542,29794,30048,30303,30560,30818,31078,31331,31576,31813,32043,32266,32481,32689,32890,33084,33273,33454,33630,33799,33961,34118,34270,34417,34559,34696,34827,34954,35072,35183,35285,35380,35466,35544,35614,35682,35746,35807,35865,35920,35973,36022,36070,36116,36161,36204,36246,36286,36326,36365,36405,36445,36485,36526,36567,36608,36646,36681,36713,36741,36766,36788,36807,36826,36844,36863,36881,36899,36917,36935,36952,36969,36985,37000,37015,37029,37042,37056,37069,37083,37097,37112,37126,37141,37156,37170,37183,37196,37209,37221,37233,37244,37254,37264,37274,37283,37291,37299,37308,37317,37328,37339,37351,37365,37379,37391,37402,37411,37419,37425,37430,37433,37437,37442,37447,37452,37459,37466,37474,37481,37487,37493,37497,37501,37504,37507,37509,37512,37514,37517,37520,37523,37526,37529,37533,37537,37541,37545,37550,37554,37559,37565,37572,37579,37586,37594,37603,37611,37618,37626,37633,37639,37645,37650,37656,37661,37667,37672,37678,37683,37689,37695,37701,37708,37716,37724,37733,37742,37751,37759,37767,37774,37781,37787,37792,37799,37806,37815,37824,37835,37846,37859,37872,37885,37898,37912,37926,37941,37956,37968,37979,37987,37994,37998,38000,38000,38000,38000,38000,
Flu season (2016-17),inc,3,5,8,10,13,15,17,19,21,23,24,26,27,29,30,31,32,33,34,36,37,39,41,43,46,48,51,53,55,58,60,62,64,67,69,72,74,77,80,82,85,87,88,90,91,92,93,95,97,99,102,104,108,111,115,118,123,127,132,136,141,146,151,156,160,165,170,175,180,186,191,197,204,210,218,226,236,246,257,269,283,297,313,330,348,368,389,412,437,465,495,528,564,603,644,687,732,778,825,875,926,978,1031,1084,1137,1190,1243,1296,1349,1402,1455,1508,1561,1614,1666,1719,1771,1823,1874,1925,1976,2026,2077,2128,2181,2235,2291,2348,2407,2466,2529,2594,2661,2732,2804,2880,2957,3037,3117,3198,3281,3365,3450,3537,3622,3705,3787,3868,3947,4025,4101,4176,4250,4322,4394,4464,4532,4600,4665,4729,4790,4850,4907,4963,5017,5069,5121,5171,5220,5268,5315,5360,5406,5452,5499,5545,5592,5640,5687,5733,5778,5822,5864,5905,5944,5982,6019,6054,6089,6122,6154,6185,6215,6244,6271,6298,6324,6349,6373,6397,6418,6438,6457,6474,6490,6505,6517,6530,6541,6553,6563,6573,6583,6592,6601,6609,6617,6625,6633,6640,6648,6655,6662,6669,6677,6684,6692,6699,6706,6713,6718,6724,6728,6732,6736,6739,6743,6746,6749,6753,6756,6759,6762,6765,6768,6771,6774,6776,6779,6781,6784,6786,6789,6791,6794,6797,6799,6802,6805,6807,6809,6811,6814,6816,6818,6819,6821,6823,6824,6826,6827,6829,6831,6833,6835,6838,6840,6843,6845,6846,6848,6849,6850,6850,6851,6852,6853,6854,6855,6856,6858,6859,6860,6861,6862,6863,6863,6864,6864,6865,6865,6866,6866,6867,6867,6868,6869,6869,6870,6871,6872,6872,6873,6874,6876,6877,6878,6880,6881,6883,6884,6886,6887,6888,6889,6890,6891,6892,6893,6894,6895,6896,6897,6898,6899,6901,6902,6904,6905,6907,6908,6910,6911,6913,6914,6915,6916,6917,6919,6920,6922,6924,6926,6928,6930,6933,6935,6938,6940,6943,6946,6948,6950,6952,6953,6954,6954,6954,6954,6954,6954,
Flu season (2017-18),est,9,18,27,36,45,54,63,73,83,93,103,113,125,138,151,165,180,195,210,225,240,254,267,281,293,307,322,338,355,373,392,412,433,455,477,500,523,548,573,598,624,651,677,704,732,760,788,815,843,870,897,924,951,980,1013,1048,1086,1126,1170,1216,1265,1317,1372,1429,1490,1553,1618,1688,1761,1838,1919,2004,2092,2184,2292,2415,2553,2707,2876,3061,3261,3487,3737,4011,4311,4636,4985,5360,5773,6226,6719,7251,7822,8433,9082,9762,10471,11210,11978,12776,13603,14460,15324,16195,17074,17959,18852,19752,20659,21552,22431,23296,24146,24982,25804,26612,27413,28207,28993,29773,30546,31312,32070,32820,33560,34291,35012,35724,36427,37121,37809,38492,39170,39843,40511,41174,41832,42467,43079,43668,44234,44778,45298,45796,46281,46754,47215,47664,48100,48524,48936,49329,49704,50060,50398,50718,51019,51302,51580,51853,52121,52383,52641,52894,53142,53381,53613,53837,54053,54262,54462,54655,54842,55025,55203,55376,55544,55707,55866,56025,56186,56349,56512,56677,56843,57011,57171,57325,57471,57611,57745,57871,57990,58105,58214,58319,58419,58514,58604,58690,58772,58852,58930,59004,59076,59145,59211,59277,59341,59404,59467,59528,59588,59647,59702,59753,59799,59841,59879,59913,59943,59972,60000,60027,60053,60079,60103,60127,60150,60171,60191,60210,60227,60243,60257,60272,60286,60301,60315,60330,60344,60359,60373,60385,60397,60407,60417,60426,60434,60442,60449,60457,60465,60473,60481,60488,60496,60502,60508,60514,60519,60524,60527,60532,60536,60540,60545,60549,60554,60559,60564,60570,60575,60580,60586,60591,60597,60602,60607,60611,60615,60619,60622,60625,60628,60631,60634,60638,60642,60646,60651,60656,60661,60666,60672,60678,60684,60691,60697,60702,60707,60711,60715,60718,60720,60723,60726,60730,60734,60738,60743,60749,60754,60759,60763,60767,60771,60774,60777,60780,60784,60788,60792,60797,60802,60808,60813,60818,60822,60827,60831,60834,60838,60841,60844,60848,60851,60854,60858,60861,60865,60868,60872,60876,60880,60885,60889,60894,60899,60904,60909,60915,60921,60927,60933,60940,60947,60954,60961,60969,60977,60983,60989,60993,60997,60999,61000,61000,61000,61000,61000,
Flu season (2017-18),inc,2,5,7,9,11,14,16,19,21,24,26,29,32,35,39,42,46,50,54,58,61,65,68,72,75,79,83,87,91,96,100,106,111,116,122,128,134,140,147,153,160,167,173,180,187,195,202,209,216,223,230,237,243,251,259,268,278,288,300,311,324,337,351,366,381,398,414,432,451,471,491,513,536,559,587,618,654,693,737,784,835,893,957,1027,1104,1187,1277,1372,1478,1594,1720,1857,2003,2159,2326,2500,2681,2870,3067,3271,3483,3703,3924,4147,4372,4599,4827,5058,5290,5519,5744,5965,6183,6397,6608,6814,7019,7223,7424,7624,7822,8018,8212,8404,8594,8781,8965,9148,9328,9505,9682,9857,10030,10203,10374,10543,10712,10874,11031,11182,11327,11466,11599,11727,11851,11972,12090,12205,12317,12425,12531,12631,12727,12819,12905,12987,13064,13137,13208,13278,13346,13414,13480,13544,13608,13669,13729,13786,13841,13895,13946,13995,14043,14090,14136,14180,14223,14265,14305,14346,14387,14429,14471,14513,14556,14598,14640,14679,14716,14752,14786,14819,14849,14879,14907,14934,14959,14983,15007,15028,15050,15070,15090,15109,15127,15145,15162,15179,15195,15211,15227,15243,15258,15274,15288,15301,15313,15323,15333,15342,15349,15357,15364,15371,15378,15384,15390,15397,15402,15408,15413,15418,15422,15426,15430,15434,15437,15441,15445,15448,15452,15456,15459,15463,15466,15468,15471,15473,15475,15477,15479,15481,15483,15485,15487,15489,15491,15493,15494,15496,15497,15498,15499,15500,15501,15502,15503,15505,15506,15507,15508,15510,15511,15512,15514,15515,15517,15518,15519,15520,15521,15522,15523,15524,15525,15525,15526,15527,15528,15529,15531,15532,15533,15534,15536,15538,15539,15541,15542,15544,15545,15546,15547,15548,15548,15549,15550,15551,15552,15553,15554,15556,15557,15558,15559,15560,15561,15562,15563,15564,15565,15566,15567,15568,15569,15571,15572,15573,15575,15576,15577,15578,15578,15579,15580,15581,15582,15583,15584,15584,15585,15586,15587,15588,15589,15590,15592,15593,15594,15595,15597,15598,15600,15601,15603,15605,15606,15608,15610,15612,15614,15616,15617,15618,15619,15620,15620,15620,15620,15620,15620,
