Flu season (2013-14),inc,0,1,1,2,2,3,4,5,7,8,10,12,13,15,17,18,20,21,23,24,26,28,29,31,32,34,35,37,39,40,42,44,46,48,50,52,54,56,59,61,63,66,68,70,72,75,77,80,83,86,89,93,97,101,105,110,114,119,123,128,133,138,143,149,154,160,166,173,180,187,195,204,213,223,233,245,257,270,283,298,313,330,350,371,395,420,448,477,510,545,584,625,669,716,766,818,873,929,988,1049,1113,1178,1244,1310,1377,1444,1511,1578,1646,1713,1779,1845,1910,1975,2038,2102,2164,2224,2284,2343,2400,2456,2511,2565,2617,2667,2717,2765,2811,2856,2900,2943,2986,3027,3068,3107,3146,3183,3219,3254,3288,3320,3352,3381,3410,3438,3465,3491,3516,3540,3563,3585,3607,3628,3648,3667,3686,3703,3721,3737,3753,3768,3783,3797,3810,3823,3836,3848,3859,3871,3882,3892,3903,3913,3923,3933,3942,3952,3961,3970,3979,3988,3996,4005,4013,4020,4029,4037,4046,4055,4065,4075,4085,4095,4105,4114,4122,4131,4139,4146,4154,4161,4169,4177,4184,4192,4200,4208,4215,4223,4231,4238,4246,4253,4261,4268,4274,4281,4287,4293,4298,4304,4309,4314,4318,4322,4327,4330,4334,4338,4342,4345,4349,4352,4356,4359,4362,4365,4368,4370,4372,4375,4377,4379,4382,4384,4387,4390,4392,4395,4398,4400,4403,4405,4407,4410,4412,4413,4415,4417,4418,4419,4420,4421,4422,4423,4423,4424,4424,4425,4425,4426,4426,4427,4428,4429,4429,4430,4431,4432,4432,4433,4434,4434,4435,4436,4436,4437,4438,4439,4440,4441,4442,4443,4443,4444,4444,4445,4445,4446,4446,4447,4447,4448,4449,4449,4450,4451,4451,4451,4451,4452,4452,4452,4452,4453,4454,4454,4455,4456,4456,4457,4458,4459,4460,4460,4461,4462,4463,4464,4464,4465,4466,4466,4467,4468,4468,4468,4468,4469,4469,4469,4469,4470,4470,4471,4471,4472,4473,4473,4474,4475,4476,4476,4477,4478,4479,4480,4481,4482,4482,4483,4484,4484,4485,4485,4485,4485,4485,4485,4485,
Flu season (2014-15),inc,1,2,3,3,4,5,6,7,8,9,11,12,13,15,16,18,20,21,23,25,27,28,30,32,33,35,37,39,41,43,45,48,50,52,54,56,58,60,61,63,65,67,69,71,74,76,79,82,86,89,93,97,102,106,111,117,122,128,135,141,149,157,166,175,185,197,208,222,237,255,273,294,316,341,368,398,431,466,505,547,591,640,693,749,810,875,944,1018,1101,1195,1298,1413,1537,1672,1816,1963,2111,2261,2413,2567,2722,2879,3034,3186,3336,3483,3628,3770,3911,4045,4174,4298,4416,4528,4635,4737,4836,4932,5026,5117,5206,5292,5375,5457,5536,5613,5689,5762,5833,5901,5969,6034,6099,6161,6222,6282,6339,6395,6448,6498,6546,6591,6634,6674,6713,6751,6788,6823,6857,6890,6921,6952,6982,7012,7041,7069,7097,7124,7150,7176,7201,7225,7249,7272,7294,7316,7338,7359,7380,7400,7421,7440,7460,7479,7498,7516,7534,7552,7569,7586,7602,7618,7634,7649,7663,7678,7692,7706,7720,7734,7749,7763,7777,7791,7804,7817,7829,7841,7852,7863,7873,7884,7894,7903,7913,7922,7931,7940,7948,7956,7964,7972,7979,7987,7993,8000,8005,8011,8016,8020,8024,8028,8032,8035,8039,8042,8045,8049,8052,8054,8057,8060,8062,8064,8066,8068,8070,8072,8075,8077,8080,8082,8085,8087,8089,8091,8093,8094,8096,8097,8099,8100,8102,8103,8105,8106,8108,8109,8110,8112,8113,8114,8114,8115,8116,8117,8117,8118,8119,8119,8120,8121,8121,8122,8123,8124,8124,8125,8126,8127,8128,8129,8130,8131,8132,8133,8134,8135,8136,8137,8138,8139,8140,8141,8141,8142,8142,8143,8143,8144,8144,8145,8145,8146,8146,8147,8147,8148,8149,8149,8150,8150,8151,8152,8152,8153,8154,8155,8157,8158,8159,8160,8161,8162,8163,8163,8164,8165,8166,8167,8167,8168,8169,8170,8170,8171,8171,8172,8172,8173,8173,8174,8174,8174,8175,8175,8176,8176,8177,8177,8178,8179,8180,8180,8181,8182,8183,8184,8185,8186,8188,8189,8190,8191,8192,8193,8194,8194,8195,8196,8197,
Flu season (2015-16),inc,2,4,6,8,10,12,13,15,16,17,18,19,21,22,24,26,28,30,32,35,37,39,42,44,47,49,52,54,57,60,63,65,68,71,73,76,78,80,82,84,86,88,90,92,94,95,97,99,101,103,105,107,109,111,113,116,119,121,124,128,131,134,137,140,143,146,148,151,155,158,161,165,168,172,175,179,182,184,187,189,192,194,197,200,203,207,211,216,220,225,229,234,238,243,247,252,256,261,265,270,274,278,283,287,292,297,301,306,312,317,323,329,335,342,348,356,363,371,378,386,395,403,412,421,431,442,453,465,478,491,506,521,538,556,574,594,616,638,660,684,708,733,759,786,814,844,875,907,941,976,1013,1050,1089,1128,1167,1208,1249,1291,1334,1378,1424,1471,1518,1567,1618,1667,1714,1761,1807,1851,1894,1937,1978,2020,2061,2102,2143,2184,2224,2264,2303,2341,2379,2416,2452,2488,2522,2556,2588,2620,2650,2679,2707,2734,2760,2785,2809,2832,2854,2876,2896,2917,2936,2956,2975,2993,3012,3029,3046,3062,3077,3091,3105,3118,3131,3143,3155,3167,3178,3189,3199,3209,3218,3226,3233,3240,3246,3250,3255,3260,3265,3269,3273,3278,3282,3286,3290,3293,3297,3300,3302,3305,3307,3310,3312,3314,3317,3319,3322,3324,3327,3329,3332,3334,3337,3339,3342,3344,3346,3348,3350,3352,3354,3356,3357,3359,3360,3362,3363,3365,3366,3368,3369,3370,3372,3373,3375,3376,3377,3379,3380,3381,3382,3382,3383,3384,3385,3386,3386,3387,3388,3389,3389,3390,3391,3391,3392,3393,3394,3394,3395,3395,3396,3396,3396,3396,3397,3397,3397,3398,3398,3398,3398,3399,3399,3400,3400,3401,3402,3403,3403,3404,3405,3406,3407,3407,3408,3409,3410,3411,3411,3412,3413,3414,3414,3415,3416,3416,3417,3418,3419,3419,3420,3421,3422,3423,3425,3426,3427,3428,3429,3431,3432,3433,3434,3436,3437,3439,3440,3442,3443,3445,3446,3447,3447,3448,3448,3448,3448,3448,3448,
Flu season (2016-17),inc,3,5,8,10,13,15,17,19,21,23,24,26,27,29,30,31,32,33,34,36,37,39,41,43,46,48,51,53,55,58,60,62,64,67,69,72,74,77,80,82,85,87,88,90,91,92,93,95,97,99,102,104,108,111,115,118,123,127,132,136,141,146,151,156,160,165,170,175,180,186,191,197,204,210,218,226,236,246,257,269,283,297,313,330,348,368,389,412,437,465,495,528,564,603,644,687,732,778,825,875,926,978,1031,1084,1137,1190,1243,1296,1349,1402,1455,1508,1561,1614,1666,1719,1771,1823,1874,1925,1976,2026,2077,2128,2181,2235,2291,2348,2407,2466,2529,2594,2661,2732,2804,2880,2957,3037,3117,3198,3281,3365,3450,3537,3622,3705,3787,3868,3947,4025,4101,4176,4250,4322,4394,4464,4532,4600,4665,4729,4790,4850,4907,4963,5017,5069,5121,5171,5220,5268,5315,5360,5406,5452,5499,5545,5592,5640,5687,5733,5778,5822,5864,5905,5944,5982,6019,6054,6089,6122,6154,6185,6215,6244,6271,6298,6324,6349,6373,6397,6418,6438,6457,6474,6490,6505,6517,6530,6541,6553,6563,6573,6583,6592,6601,6609,6617,6625,6633,6640,6648,6655,6662,6669,6677,6684,6692,6699,6706,6713,6718,6724,6728,6732,6736,6739,6743,6746,6749,6753,6756,6759,6762,6765,6768,6771,6774,6776,6779,6781,6784,6786,6789,6791,6794,6797,6799,6802,6805,6807,6809,6811,6814,6816,6818,6819,6821,6823,6824,6826,6827,6829,6831,6833,6835,6838,6840,6843,6845,6846,6848,6849,6850,6850,6851,6852,6853,6854,6855,6856,6858,6859,6860,6861,6862,6863,6863,6864,6864,6865,6865,6866,6866,6867,6867,6868,6869,6869,6870,6871,6872,6872,6873,6874,6876,6877,6878,6880,6881,6883,6884,6886,6887,6888,6889,6890,6891,6892,6893,6894,6895,6896,6897,6898,6899,6901,6902,6904,6905,6907,6908,6910,6911,6913,6914,6915,6916,6917,6919,6920,6922,6924,6926,6928,6930,6933,6935,6938,6940,6943,6946,6948,6950,6952,6953,6954,6954,6954,6954,6954,6954,
Flu season (2017-18),inc,2,5,7,9,11,14,16,19,21,24,26,29,32,35,39,42,46,50,54,58,61,65,68,72,75,79,83,87,91,96,100,106,111,116,122,128,134,140,147,153,160,167,173,180,187,195,202,209,216,223,230,237,243,251,259,268,278,288,300,311,324,337,351,366,381,398,414,432,451,471,491,513,536,559,587,618,654,693,737,784,835,893,957,1027,1104,1187,1277,1372,1478,1594,1720,1857,2003,2159,2326,2500,2681,2870,3067,3271,3483,3703,3924,4147,4372,4599,4827,5058,5290,5519,5744,5965,6183,6397,6608,6814,7019,7223,7424,7624,7822,8018,8212,8404,8594,8781,8965,9148,9328,9505,9682,9857,10030,10203,10374,10543,10712,10874,11031,11182,11327,11466,11599,11727,11851,11972,12090,12205,12317,12425,12531,12631,12727,12819,12905,12987,13064,13137,13208,13278,13346,13414,13480,13544,13608,13669,13729,13786,13841,13895,13946,13995,14043,14090,14136,14180,14223,14265,14305,14346,14387,14429,14471,14513,14556,14598,14640,14679,14716,14752,14786,14819,14849,14879,14907,14934,14959,14983,15007,15028,15050,15070,15090,15109,15127,15145,15162,15179,15195,15211,15227,15243,15258,15274,15288,15301,15313,15323,15333,15342,15349,15357,15364,15371,15378,15384,15390,15397,15402,15408,15413,15418,15422,15426,15430,15434,15437,15441,15445,15448,15452,15456,15459,15463,15466,15468,15471,15473,15475,15477,15479,15481,15483,15485,15487,15489,15491,15493,15494,15496,15497,15498,15499,15500,15501,15502,15503,15505,15506,15507,15508,15510,15511,15512,15514,15515,15517,15518,15519,15520,15521,15522,15523,15524,15525,15525,15526,15527,15528,15529,15531,15532,15533,15534,15536,15538,15539,15541,15542,15544,15545,15546,15547,15548,15548,15549,15550,15551,15552,15553,15554,15556,15557,15558,15559,15560,15561,15562,15563,15564,15565,15566,15567,15568,15569,15571,15572,15573,15575,15576,15577,15578,15578,15579,15580,15581,15582,15583,15584,15584,15585,15586,15587,15588,15589,15590,15592,15593,15594,15595,15597,15598,15600,15601,15603,15605,15606,15608,15610,15612,15614,15616,15617,15618,15619,15620,15620,15620,15620,15620,15620,
Flu season (2018-19),inc,1,3,4,6,7,9,10,12,13,15,17,19,21,23,25,27,30,32,35,38,41,44,47,50,54,57,61,64,68,71,75,78,82,86,90,94,98,102,106,110,114,119,122,126,130,134,138,142,146,150,154,158,163,167,172,177,182,187,192,198,204,210,216,223,230,238,246,254,262,269,277,284,292,299,307,316,326,336,347,359,371,385,400,415,432,450,469,490,511,534,559,584,612,640,671,702,734,767,801,836,872,909,946,982,1018,1054,1090,1125,1161,1196,1233,1270,1307,1345,1384,1424,1464,1506,1548,1592,1636,1682,1728,1776,1824,1873,1923,1973,2024,2077,2131,2188,2247,2309,2373,2440,2508,2577,2646,2714,2782,2850,2918,2986,3054,3124,3194,3265,3337,3410,3484,3558,3633,3708,3784,3861,3938,4016,4093,4169,4245,4320,4394,4468,4541,4613,4685,4756,4826,4896,4965,5034,5102,5169,5237,5304,5370,5436,5502,5565,5626,5684,5740,5794,5845,5893,5941,5988,6034,6080,6125,6169,6212,6253,6292,6330,6364,6397,6428,6457,6485,6512,6537,6563,6587,6610,6632,6653,6673,6692,6709,6726,6741,6754,6768,6780,6792,6804,6815,6825,6835,6844,6853,6862,6870,6878,6885,6893,6899,6906,6912,6917,6922,6927,6931,6935,6940,6944,6948,6952,6956,6961,6965,6968,6972,6976,6979,6982,6985,6988,6991,6993,6996,6998,7001,7003,7005,7008,7010,7012,7014,7016,7017,7019,7021,7023,7025,7027,7029,7032,7034,7036,7038,7040,7042,7044,7045,7047,7049,7051,7052,7054,7056,7057,7059,7060,7061,7063,7064,7065,7065,7066,7067,7068,7069,7070,7071,7073,7074,7075,7076,7077,7078,7079,7079,7080,7081,7082,7083,7084,7085,7086,7087,7088,7089,7090,7091,7092,7094,7095,7096,7097,7098,7099,7100,7100,7101,7103,7104,7105,7107,7109,7110,7112,7114,7116,7118,7119,7121,7123,7125,7127,7128,7131,7133,7135,7137,7139,7142,7144,7146,7148,7150,7153,7155,7157,7159,7161,7163,7165,7168,7169,7171,7172,7173,7174,7174,7174,7174,7174,7174,
Flu season (2019-20),inc,2,5,7,9,11,14,16,18,21,23,25,27,30,32,35,37,40,42,45,48,51,55,59,63,67,71,76,80,84,89,93,98,102,107,111,115,120,124,129,133,138,143,148,153,159,164,170,176,182,189,196,202,210,217,225,233,241,250,259,269,279,290,301,313,326,339,354,368,383,397,413,428,444,459,476,492,509,526,544,562,580,600,621,644,668,694,721,750,783,821,863,910,961,1017,1077,1138,1200,1263,1327,1392,1457,1524,1590,1656,1722,1787,1852,1917,1982,2047,2113,2180,2247,2315,2383,2453,2522,2590,2659,2727,2795,2863,2931,2999,3068,3138,3208,3279,3351,3423,3496,3570,3644,3719,3795,3871,3948,4025,4103,4181,4259,4337,4416,4494,4575,4657,4740,4825,4912,5000,5089,5178,5267,5356,5443,5531,5618,5705,5791,5878,5964,6050,6136,6221,6307,6391,6473,6554,6634,6712,6789,6864,6937,7009,7078,7145,7210,7273,7335,7396,7458,7521,7583,7647,7710,7775,7839,7903,7967,8032,8096,8161,8225,8286,8342,8394,8442,8485,8524,8560,8592,8623,8651,8677,8701,8723,8742,8760,8776,8790,8802,8813,8821,8829,8835,8842,8847,8853,8858,8862,8866,8870,8873,8875,8878,8879,8881,8881,8882,8883,8883,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,8884,
COVID-19 (2019-20),inc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,11,12,15,19,22,26,30,38,40,47,57,72,94,121,171,240,312,377,515,696,967,1276,1640,2143,2798,3305,4130,5229,6499,7714,9007,10595,12028,13547,15835,18055,20213,22508,24582,26353,28104,30737,33443,35708,38323,40254,41855,43845,46604,49030,51453,53467,55586,56769,58203,60757,63229,65520,67496,69236,70419,71769,74195,76784,78972,80716,82185,83423,84509,86425,88297,90102,91767,93025,93919,94950,96541,97989,99446,100780,101822,102452,103108,103887,105449,106693,107933,108974,109646,110350,111497,112610,113664,114653,115387,115789,116373,117475,118484,119402,120184,120908,121253,121678,122546,123377,124141,124878,125469,125749,126121,126999,127819,128477,129142,129675,129976,130334,131066,131761,132449,133079,133361,133640,134046,135055,135970,136941,137812,138571,138974,139457,140427,141452,142444,143421,144250,144688,145238,146439,147687,148879,150068,151008,151491,152099,153440,154917,156797,158261,159326,159773,160397,161824,163168,164380,165721,166772,167321,167881,169394,170825,172146,173330,174456,174995,175586,176978,178270,179364,180508,181502,181964,182464,183758,185066,186227,187341,188308,188690,189217,190391,191505,192636,193689,194399,194856,195178,195654,196865,197935,199024,199733,200157,200630,201833,202847,203744,204702,205378,205695,206087,207069,208198,209127,210006,210751,211046,211412,212392,213339,214241,215126,215869,216210,216646,217464,218408,219338,220256,220990,221341,221700,222572,223553,224438,225409,226075,226580,227046,228015,229257,230230,231105,231905,232366,232908,233963,235017,236086,237049,238011,238506,239110,240351,241664,242923,244248,245375,246024,246787,248322,249838,251126,252603,253970,254755,255615,257337,259411,261534,263601,265255,266241,267340,269633,272034,273570,275058,276439,277394,278753,281572,284582,287584,290368,292801,294053,295727,298800,302195,305407,308542,311025,312609,314402,317577,321333,324822,327758,330591,332264,334363,337825,341343,344408,346024,347639,349024,351113,354918,358922,362637,365015,367208,368683,370655,374489,378639,382828,386881,390211,392120,394238,398728,402817,406996,410871,414474,416415,418000,420914,425355,429743,433725,437235,439167,441089,445215,449458,453412,457178,460071,461989,463878,467515,471501,475066,478606,481428,482828,484349,487615,491010,494246,497261,499608,500744,501719,503550,506104,508848,511535,513456,514714,516114,518544,521048,523495,525747,527347,528678,530133,532247,534644,536708,538567,540208,541037,541933,543462,545149,546774,548322,549440,550146,551006,552161,553549,554940,556187,557008,557504,558183,559210,560608,561865,563163,564018,564581,565270,566162,567320,568299,569298,570127,570427,570946,571820,572747,573777,574712,575445,575770,576268,577099,578056,578972,579873,580633,580941,581445,582333,583246,584178,584989,585739,586030,586502,587385,588371,589262,590046,590759,591069,591514
Drowning (annual),est,10,20,30,40,50,59,69,78,87,96,105,114,123,131,140,148,156,164,172,180,188,196,203,211,218,225,232,239,246,253,259,266,272,279,285,291,297,303,309,315,320,326,331,337,342,347,352,357,362,367,372,376,381,386,390,394,399,403,407,411,415,419,423,427,431,435,438,442,446,449,453,456,460,463,466,470,473,476,480,483,486,489,492,495,498,502,505,508,511,514,517,520,523,526,529,532,535,538,541,544,548,551,554,557,560,564,567,570,574,577,580,584,587,591,594,598,602,605,609,613,617,621,625,629,633,637,642,646,650,655,660,664,669,674,679,684,689,694,699,704,710,715,721,727,732,738,744,750,756,763,769,776,782,789,796,803,810,817,824,831,839,846,854,862,870,878,886,894,903,911,920,929,938,947,956,965,974,984,993,1003,1013,1023,1033,1043,1054,1064,1075,1085,1096,1107,1118,1130,1141,1152,1164,1176,1187,1199,1211,1223,1236,1248,1261,1273,1286,1299,1312,1325,1338,1351,1365,1378,1392,1406,1419,1433,1447,1462,1476,1490,1505,1519,1534,1549,1563,1578,1593,1608,1624,1639,1654,1670,1685,1701,1716,1732,1748,1764,1780,1796,1812,1828,1844,1861,1877,1893,1910,1926,1943,1960,1976,1993,2010,2027,2044,2060,2077,2094,2111,2128,2146,2163,2180,2197,2214,2231,2249,2266,2283,2300,2317,2335,2352,2369,2387,2404,2421,2438,2456,2473,2490,2507,2525,2542,2559,2576,2593,2610,2627,2644,2661,2678,2695,2712,2729,2746,2763,2779,2796,2813,2829,2846,2862,2878,2895,2911,2927,2943,2959,2975,2991,3007,3023,3039,3054,3070,3085,3101,3116,3131,3146,3162,3176,3191,3206,3221,3235,3250,3264,3279,3293,3307,3321,3335,3349,3362,3376,3389,3403,3416,3429,3442,3455,3468,3480,3493,3505,3518,3530,3542,3554,3566,3578,3589,3601,3612,3623,3634,3645,3656,3667,3678,3688,3699,3709,
Car crashes (annual),inc,110,220,331,441,551,661,772,882,992,1102,1212,1323,1433,1543,1653,1764,1874,1984,2094,2204,2315,2425,2535,2645,2756,2866,2976,3086,3196,3307,3417,3527,3637,3748,3858,3968,4078,4188,4299,4409,4519,4629,4740,4850,4960,5070,5180,5291,5401,5511,5621,5732,5842,5952,6062,6172,6283,6393,6503,6613,6724,6834,6944,7054,7164,7275,7385,7495,7605,7716,7826,7936,8046,8156,8267,8377,8487,8597,8708,8818,8928,9038,9148,9259,9369,9479,9589,9700,9810,9920,10030,10140,10251,10361,10471,10581,10692,10802,10912,11022,11132,11243,11353,11463,11573,11684,11794,11904,12014,12124,12235,12345,12455,12565,12676,12786,12896,13006,13116,13227,13337,13447,13557,13668,13778,13888,13998,14108,14219,14329,14439,14549,14660,14770,14880,14990,15100,15211,15321,15431,15541,15652,15762,15872,15982,16092,16203,16313,16423,16533,16644,16754,16864,16974,17084,17195,17305,17415,17525,17636,17746,17856,17966,18076,18187,18297,18407,18517,18628,18738,18848,18958,19068,19179,19289,19399,19509,19620,19730,19840,19950,20060,20171,20281,20391,20501,20611,20722,20832,20942,21052,21163,21273,21383,21493,21603,21714,21824,21934,22044,22155,22265,22375,22485,22595,22706,22816,22926,23036,23147,23257,23367,23477,23587,23698,23808,23918,24028,24139,24249,24359,24469,24579,24690,24800,24910,25020,25131,25241,25351,25461,25571,25682,25792,25902,26012,26123,26233,26343,26453,26563,26674,26784,26894,27004,27115,27225,27335,27445,27555,27666,27776,27886,27996,28107,28217,28327,28437,28547,28658,28768,28878,28988,29099,29209,29319,29429,29539,29650,29760,29870,29980,30091,30201,30311,30421,30531,30642,30752,30862,30972,31083,31193,31303,31413,31523,31634,31744,31854,31964,32075,32185,32295,32405,32515,32626,32736,32846,32956,33067,33177,33287,33397,33507,33618,33728,33838,33948,34059,34169,34279,34389,34499,34610,34720,34830,34940,35051,35161,35271,35381,35491,35602,35712,35822,35932,36043,36153,36263,36373,36483,36594,36704,36814,36924,37035,37145,37255,37365,37475,37586,37696,37806,37916,38027,38137,38247,38357,38467,38578,38688,38798,38908,39019,39129,39239,39349,39459,39570,39680,39790,39900,40011,40121,40231,
